[ 765] x= 32767, y= -13784
[ 766] x= 29906, y= -13784
[ 767] x= 29906, y= -32767
[ 768] x=    0, y= -32767
[ 769] x=    0, y= -13784
[ 770] x=-29951, y= -13784
[ 771] x=-29951, y=     0
[ 772] x=-32767, y=     0
[ 773] x=-32767, y=  11776
[ 774] x=-30719, y=  11776
[ 775] x=-30719, y=  32767
[ 776] x=    0, y=  32767
[ 777] x=    0, y=  11776
[ 778] x= 30687, y=  11776
[ 779] x= 30687, y=     0
[ 780] x= 32767, y=     0
[ 781] x= 32767, y= -13784
[ 782] x= 29906, y= -13784
[ 783] x= 29906, y= -32767
[ 784] x=    0, y= -32767
[ 785] x=    0, y= -13784
[ 786] x=-29951, y= -13784
[ 787] x=-29951, y=     0
[ 788] x=-32767, y=     0
[ 789] x=-32767, y=  11776
[ 790] x=-30719, y=  11776
[ 791] x=-30719, y=  32767
[ 792] x=    0, y=  32767
[ 793] x=    0, y=  11776
[ 794] x= 30687, y=  11776
[ 795] x= 30687, y=     0
[ 796] x= 32767, y=     0
[ 797] x= 32767, y= -13784
[ 798] x= 29906, y= -13784
[ 799] x= 29906, y= -32767
[ 800] x=    0, y= -32767
[ 801] x=    0, y= -13784
[ 802] x=-29951, y= -13784
[ 803] x=-29951, y=     0
[ 804] x=-32767, y=     0
[ 805] x=-32767, y=  11776
[ 806] x=-30719, y=  11776
[ 807] x=-30719, y=  32767
[ 808] x=    0, y=  32767
[ 809] x=    0, y=  11776
[ 810] x= 30687, y=  11776
[ 811] x= 30687, y=     0
[ 812] x= 32767, y=     0
[ 813] x= 32767, y= -13784
[ 814] x= 29906, y= -13784
[ 815] x= 29906, y= -32767
[ 816] x=    0, y= -32767
[ 817] x=    0, y= -13784
[ 818] x=-29951, y= -13784
[ 819] x=-29951, y=     0
[ 820] x=-32767, y=     0
[ 821] x=-32767, y=  11776
[ 822] x=-30719, y=  11776
[ 823] x=-30719, y=  32767
[ 824] x=    0, y=  32767
[ 825] x=    0, y=  11776
[ 826] x= 30687, y=  11776
[ 827] x= 30687, y=     0
[ 828] x= 32767, y=     0
[ 829] x= 32767, y= -13784
[ 830] x= 29906, y= -13784
[ 831] x= 29906, y= -32767
[ 832] x=    0, y= -32767
[ 833] x=    0, y= -13784
[ 834] x=-29951, y= -13784
[ 835] x=-29951, y=     0
[ 836] x=-32767, y=     0
[ 837] x=-32767, y=  11776
[ 838] x=-30719, y=  11776
[ 839] x=-30719, y=  32767
[ 840] x=    0, y=  32767
[ 841] x=    0, y=  11776
[ 842] x= 30687, y=  11776
[ 843] x= 30687, y=     0
[ 844] x= 32767, y=     0
[ 845] x= 32767, y= -13784
[ 846] x= 29906, y= -13784
[ 847] x= 29906, y= -32767
[ 848] x=    0, y= -32767
[ 849] x=    0, y= -13784
[ 850] x=-29951, y= -13784
[ 851] x=-29951, y=     0
[ 852] x=-32767, y=     0
[ 853] x=-32767, y=  11776
